,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
157,Kill Bill (feat. Doja Cat),Kill Bill (feat. Doja Cat),SZA,2023-04-14,175836,85,0.629,0.0769,0.744,0.247,0.194,-6.124,0.0409,89.021,4
158,Shirt,SOS,SZA,2022-12-09,181840,83,0.848,0.228,0.512,0.00232,0.0879,-7.72,0.102,120.009,4
159,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,232186,85,0.698,0.0605,0.633,0.000194,0.0926,-4.946,0.0597,96.924,4
160,The Weekend,Ctrl,SZA,2017-06-09,272186,77,0.4,0.242,0.366,0.0,0.126,-9.405,0.0597,73.313,3
161,Broken Clocks,Ctrl,SZA,2017-06-09,231253,81,0.692,0.131,0.684,0.0,0.156,-7.364,0.155,112.912,4
162,I Hate U,SOS,SZA,2022-12-09,173906,78,0.533,0.514,0.417,0.0,0.114,-8.665,0.148,106.534,5
163,Blind,SOS,SZA,2022-12-09,150720,81,0.461,0.911,0.279,0.0,0.205,-11.776,0.0373,114.225,4
164,Awkward,Ctrl (Deluxe),SZA,2022-06-09,178000,79,0.618,0.182,0.474,0.000122,0.108,-12.097,0.0789,119.999,4
165,Ghost in the Machine (feat. Phoebe Bridgers),SOS,SZA,2022-12-09,218586,79,0.624,0.837,0.433,0.0294,0.113,-9.572,0.0467,124.979,4
166,Love Galore (feat. Travis Scott),Ctrl,SZA,2017-06-09,275080,79,0.795,0.112,0.594,0.0,0.162,-6.2,0.0748,135.002,4
167,Good Days,SOS,SZA,2022-12-09,278480,80,0.461,0.418,0.651,1.26e-05,0.782,-8.81,0.0568,121.07,4
168,Love Language,SOS,SZA,2022-12-09,183893,79,0.707,0.853,0.261,0.0,0.127,-10.139,0.0784,65.038,4
169,Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,82,0.764,0.259,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4
170,Seek & Destroy,SOS,SZA,2022-12-09,203733,77,0.651,0.437,0.647,0.175,0.205,-5.415,0.0654,152.069,4
171,Big Boy (SZA) - Sped Up Remix,Big Boy (SZA),ViralityX,2022-12-19,77425,55,0.561,0.143,0.665,0.295,0.328,-8.349,0.277,139.101,5
172,Kill Bill - Sped Up Version,Kill Bill,SZA,2023-01-13,137528,80,0.678,0.0383,0.798,0.269,0.126,-5.195,0.0316,99.941,4
173,Special,SOS,SZA,2022-12-09,158840,76,0.604,0.777,0.199,0.0,0.109,-11.831,0.05,76.134,4
174,No Love (with SZA),Still Over It,Summer Walker,2021-11-05,231497,78,0.707,0.17,0.618,0.0,0.293,-5.825,0.19,133.876,4
175,Nobody Gets Me,SOS,SZA,2022-12-08,180853,54,0.376,0.801,0.279,0.0,0.157,-8.166,0.0285,100.69,4
176,Its Cuffing Season,Its Cuffing Season,Dj Rehan,2023-01-17,171441,51,0.656,0.00957,0.412,0.151,0.327,-11.483,0.277,70.201,3
177,Normal Girl,Ctrl,SZA,2017-06-09,253586,76,0.624,0.269,0.532,5.17e-05,0.158,-7.146,0.124,76.453,4
178,Drew Barrymore,Ctrl,SZA,2017-06-09,231400,75,0.577,0.491,0.523,0.0,0.147,-5.538,0.0429,134.93,4
179,Big Boy (Sped Up) - Remix,Big Boy (Sped Up) [Remix],Xanemusic,2023-04-18,144289,60,0.775,0.0515,0.313,5.48e-05,0.574,-18.709,0.247,101.958,4
180,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,80,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968,4
181,Shirt,Shirt,SZA,2022-10-28,181830,75,0.824,0.146,0.453,0.0273,0.0896,-9.604,0.0968,119.959,4
182,Snooze,SOS,SZA,2022-12-08,201800,58,0.538,0.129,0.541,0.0,0.115,-7.169,0.102,142.887,4
183,Special (feat. SZA),Special (feat. SZA),Lizzo,2023-02-09,174748,76,0.464,0.0188,0.724,0.0,0.679,-5.019,0.0705,82.526,4
184,Open Arms (feat. Travis Scott),SOS,SZA,2022-12-08,239613,75,0.434,0.753,0.586,0.0144,0.146,-7.612,0.138,78.259,4
185,What Lovers Do (feat. SZA),Red Pill Blues (Deluxe),Maroon 5,2018-06-15,199849,68,0.799,0.0788,0.597,5.66e-06,0.1,-5.131,0.0611,110.001,4
186,Miles,Ctrl (Deluxe),SZA,2022-06-09,69728,66,0.64,0.965,0.356,0.000214,0.109,-11.563,0.0612,122.531,5
187,Supermodel,Ctrl,SZA,2017-06-09,181120,74,0.613,0.651,0.442,0.0,0.26,-8.874,0.288,119.737,5
188,SOS,SOS,SZA,2022-12-09,117773,74,0.507,0.669,0.657,6.97e-06,0.0947,-7.356,0.233,119.159,1
189,Used (feat. Don Toliver),SOS,SZA,2022-12-09,146950,75,0.734,0.532,0.689,8.47e-05,0.322,-6.454,0.0871,149.579,4
190,SOS,SOS,SZA,2022-12-08,117773,46,0.438,0.687,0.646,4.67e-05,0.105,-7.504,0.314,78.748,4
191,F2F,SOS,SZA,2022-12-09,185040,74,0.533,0.089,0.74,2.95e-06,0.337,-5.767,0.0359,89.934,4
192,Notice Me,SOS,SZA,2022-12-09,160920,73,0.724,0.275,0.68,9.91e-05,0.11,-6.822,0.117,159.919,4
193,Garden (Say It Like Dat),Ctrl,SZA,2017-06-09,208400,72,0.73,0.0705,0.457,0.0,0.124,-7.26,0.283,111.352,4
194,Gone Girl,SOS,SZA,2022-12-09,244026,73,0.428,0.57,0.439,0.0,0.153,-7.674,0.0591,150.007,4
195,Smoking on my Ex Pack,SOS,SZA,2022-12-09,83826,73,0.466,0.241,0.676,0.00318,0.224,-8.097,0.38,81.227,4
196,Hit Different,Hit Different,SZA,2020-09-04,202007,72,0.679,0.199,0.516,0.0,0.0965,-6.371,0.0452,120.074,4
197,The Weekend - Funk Wav Remix,The Weekend (Funk Wav Remix),SZA,2017-12-15,171805,75,0.775,0.495,0.573,0.0,0.126,-4.933,0.0585,101.925,4
198,Low,SOS,SZA,2022-12-08,181080,54,0.721,0.401,0.592,0.00407,0.129,-7.218,0.0573,145.005,4
199,Good Days,SOS,SZA,2022-12-08,278480,47,0.489,0.421,0.659,3.21e-05,0.787,-8.884,0.057,121.179,4
200,Superhero (Heroes & Villains) [with Future & Chris Brown],HEROES & VILLAINS,Metro Boomin,2022-12-02,182666,90,0.526,0.152,0.606,2.36e-06,0.194,-5.3,0.259,116.622,4
201,Solo,HNDRXX,Future,2017-07-27,265996,82,0.784,0.0538,0.486,0.497,0.101,-6.497,0.0475,110.964,4
202,PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,2022-04-29,172933,82,0.883,0.0603,0.657,0.0,0.128,-5.748,0.305,124.992,4
203,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,189893,87,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4
204,PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,2022-05-02,172933,68,0.883,0.0603,0.657,0.0,0.128,-5.748,0.305,124.992,4
205,Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,2022-12-02,199920,89,0.684,0.189,0.671,2.37e-05,0.122,-4.392,0.0464,88.048,4
206,LOVE YOU BETTER,I NEVER LIKED YOU,Future,2022-04-29,129479,75,0.709,0.478,0.357,0.000294,0.112,-9.289,0.214,75.494,4
207,I'M ON ONE (feat. Drake),I NEVER LIKED YOU,Future,2022-04-29,236186,70,0.773,0.0103,0.707,1.04e-05,0.296,-5.71,0.0568,76.977,4
208,Double Fantasy (with Future),Double Fantasy,The Weeknd,2023-04-21,268235,88,0.6,0.00621,0.567,8.73e-06,0.495,-7.269,0.033,119.043,4
209,I Serve the Base,DS2 (Deluxe),Future,2015-07-17,190893,77,0.636,0.011,0.57,0.00204,0.0677,-5.973,0.0571,168.202,4
210,Mask Off,FUTURE,Future,2017-06-30,204600,84,0.833,0.0102,0.434,0.0219,0.165,-8.795,0.431,150.062,4
211,MASSAGING ME,I NEVER LIKED YOU,Future,2022-04-29,106133,64,0.916,0.000189,0.453,0.0,0.137,-4.148,0.158,145.007,4
212,F*ck Up Some Commas,DS2 (Deluxe),Future,2015-07-17,237400,68,0.874,0.0698,0.568,1.38e-05,0.149,-5.896,0.224,139.995,4
213,KEEP IT BURNIN (feat. Kanye West),I NEVER LIKED YOU,Future,2022-04-29,207213,61,0.652,0.00861,0.578,0.0,0.285,-6.187,0.161,87.395,4
214,Dear Future Husband,Title (Deluxe),Meghan Trainor,2015-01-09,184226,77,0.655,0.375,0.782,0.0,0.317,-4.789,0.185,79.427,4
215,Future Perfect (Pass the MIC),MANIFESTO : DAY 1,ENHYPEN,2022-07-04,180750,73,0.658,0.0364,0.9,0.0,0.0771,-3.479,0.264,156.096,4
216,Stick Talk,DS2 (Deluxe),Future,2015-07-17,171333,66,0.729,0.0265,0.672,0.0,0.244,-6.749,0.282,159.903,4
217,56 Nights,56 Nights,Future,2015-03-21,227248,63,0.847,0.107,0.522,0.000233,0.144,-6.461,0.153,122.935,4
218,Double Fantasy,Hip Hop für Gamer by STOKED,Various Artists,2023-05-26,268235,0,0.613,0.00572,0.573,2.58e-06,0.432,-7.277,0.0345,119.041,4
219,Married To The Game,Project E.T.,Future,2016-10-13,130037,69,0.827,0.0799,0.544,1.97e-06,0.156,-5.686,0.05,143.014,4
220,Codeine Crazy,Monster,Future,2014-10-28,346906,70,0.745,0.168,0.617,0.0,0.389,-7.22,0.144,125.98,4
221,I'M DAT N****,I NEVER LIKED YOU,Future,2022-05-02,271840,56,0.911,0.0112,0.573,5.83e-05,0.131,-5.573,0.163,144.026,4
222,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,78,0.803,0.000619,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4
223,Turn On The Lights,Pluto 3D,Future,2012-11-27,248360,61,0.596,0.0409,0.574,0.0,0.147,-9.373,0.212,131.075,4
224,Thought It Was a Drought,DS2 (Deluxe),Future,2015-07-17,265213,65,0.861,0.00761,0.448,0.000408,0.0902,-8.256,0.111,125.022,4
225,Loveeeeeee Song,Unapologetic (Deluxe),Rihanna,2012-12-11,256320,74,0.71,0.508,0.598,0.0,0.0971,-7.598,0.0319,119.981,4
226,March Madness,56 Nights,Future,2015-03-21,244511,70,0.5,0.159,0.69,0.0,0.104,-4.448,0.312,180.206,3
227,I Been Drinking,Trap Still Boomin' 2,Various Artists,2014-05-20,137138,63,0.519,0.364,0.679,0.0,0.282,-6.947,0.0988,138.245,4
228,Low Life (feat. The Weeknd),EVOL,Future,2016-04-13,313546,78,0.722,0.337,0.331,0.282,0.146,-7.789,0.0726,143.961,4
229,Draco,FUTURE,Future,2017-06-30,225134,62,0.804,0.000668,0.456,0.0,0.31,-7.44,0.0468,130.014,4
230,I Can't Save You (Interlude) [with Future & feat. Don Toliver],HEROES & VILLAINS,Metro Boomin,2022-12-02,90720,77,0.668,0.0301,0.727,0.0,0.143,-4.613,0.248,143.083,4
231,Too Comfortable,High Off Life,Future,2020-05-15,236818,71,0.935,0.0455,0.472,0.0,0.19,-9.304,0.0575,130.041,4
232,Rotation,DS2 (Deluxe),Future,2015-07-17,167613,53,0.836,0.124,0.371,0.128,0.153,-7.092,0.348,156.98,4
233,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,237735,78,0.676,0.0706,0.609,0.0,0.152,-5.831,0.481,142.037,4
234,I'M ON ONE (feat. Drake),I NEVER LIKED YOU,Future,2022-05-02,236186,61,0.773,0.0103,0.707,1.04e-05,0.296,-5.71,0.0568,76.977,4
235,pushin P (feat. Young Thug),DS4EVER,Gunna,2022-01-13,136266,77,0.773,0.00783,0.422,0.00693,0.129,-4.572,0.187,77.502,1
236,I'M DAT N****,I NEVER LIKED YOU,Future,2022-04-29,271840,68,0.911,0.0112,0.573,5.83e-05,0.131,-5.573,0.163,144.026,4
237,Inside The Mattress,Purple Reign,Future,2016-01-17,210693,53,0.538,0.209,0.477,0.0,0.301,-8.025,0.285,128.931,4
238,Blackout,Blackout,Joyner Lucas,2023-04-07,189450,75,0.811,0.012,0.471,0.0,0.0951,-7.125,0.32,152.094,4
239,Trap Niggas,DS2 (Deluxe),Future,2015-07-17,183800,63,0.813,0.131,0.583,3.83e-05,0.142,-6.922,0.174,81.018,4
240,Dear Future Husband,Title (Expanded Edition),Meghan Trainor,2015-01-09,184226,59,0.704,0.374,0.78,0.0,0.309,-4.743,0.142,79.483,4
241,Seasons (Waiting on You),Singles,Future Islands,2014-03-24,226440,65,0.498,0.136,0.721,0.699,0.0933,-5.232,0.0282,140.022,4
242,Double Fantasy (with Future) - Radio Edit,Double Fantasy,The Weeknd,2023-04-21,235966,78,0.406,0.00557,0.606,0.0,0.456,-7.03,0.0494,119.045,4
243,KEEP IT BURNIN (feat. Kanye West),I NEVER LIKED YOU,Future,2022-05-02,207213,54,0.652,0.00861,0.578,0.0,0.285,-6.187,0.161,87.395,4
244,Future,Jack In The Box,j-hope,2022-07-15,139308,66,0.717,0.0652,0.822,0.0,0.36,-5.249,0.0879,102.042,4
245,Groupies,DS2 (Deluxe),Future,2015-07-17,187253,52,0.828,0.0211,0.666,0.0,0.222,-5.012,0.106,125.999,4
246,Mad Max,Lil Durk Presents: Loyal Bros 2,Only The Family,2022-12-16,153600,74,0.898,0.0212,0.64,0.0,0.0919,-8.796,0.255,149.988,4
247,Future Days,The Last of Us Part II: Covers and Rarities,Various Artists,2021-09-27,220940,53,0.616,0.63,0.136,0.0201,0.0841,-22.27,0.0817,111.092,4
248,VOODOO (feat. Kodak Black),I NEVER LIKED YOU,Future,2022-04-29,211133,54,0.499,0.0686,0.404,1.11e-06,0.125,-9.469,0.381,77.565,4
249,Drankin N Smokin,Pluto x Baby Pluto,Future,2020-11-13,213520,74,0.752,0.0421,0.658,0.0,0.0927,-6.297,0.342,151.951,4
250,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,89,0.486,0.0954,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
251,A Sky Full of Stars,Ghost Stories,Coldplay,2014-05-19,267866,87,0.545,0.00617,0.675,0.00197,0.209,-6.474,0.0279,124.97,4
252,Clocks,A Rush of Blood to the Head,Coldplay,2002-08-08,307879,84,0.577,0.599,0.749,0.0115,0.183,-7.215,0.0279,130.97,4
253,Sparks,Parachutes,Coldplay,2000-07-10,227093,87,0.371,0.748,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
254,Paradise,Mylo Xyloto,Coldplay,2011-10-24,278719,86,0.449,0.0509,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,4
255,Yellow,Parachutes,Coldplay,2000-07-10,266773,91,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
256,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-08,309600,87,0.557,0.731,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4
257,Something Just Like This,Memories...Do Not Open,The Chainsmokers,2017-04-07,247160,87,0.617,0.0498,0.635,1.44e-05,0.164,-6.769,0.0317,103.019,4
258,Hymn for the Weekend,A Head Full of Dreams,Coldplay,2015-12-04,258266,85,0.491,0.211,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4
259,Fix You,X&Y,Coldplay,2005-06-07,295533,85,0.209,0.164,0.417,0.00196,0.113,-8.74,0.0338,138.178,4
260,Adventure of a Lifetime,A Head Full of Dreams,Coldplay,2015-12-04,263786,80,0.638,0.00205,0.924,0.000175,0.149,-3.887,0.036,111.995,4
261,Magic,Ghost Stories,Coldplay,2014-05-19,285014,76,0.738,0.0266,0.482,0.621,0.106,-8.917,0.0402,93.457,4
262,Don't Panic,Parachutes,Coldplay,2000-07-10,136866,73,0.602,0.206,0.612,0.00607,0.107,-8.409,0.0335,122.062,4
263,Trouble,Parachutes,Coldplay,2000-07-10,273426,75,0.565,0.189,0.546,0.0015,0.17,-7.496,0.0314,139.757,4
264,Higher Power,Higher Power,Coldplay,2021-05-07,211294,74,0.507,0.00711,0.828,2.44e-05,0.261,-6.023,0.0449,178.032,4
265,Viva La Vida,Whistle: Summer Pop,Various Artists,2023-05-17,242373,8,0.486,0.0954,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
266,Higher Power,Music Of The Spheres,Coldplay,2021-10-15,206681,71,0.507,0.00643,0.832,1.6e-05,0.229,-5.931,0.0425,177.894,4
267,Sparks,Life Sucks,Various Artists,2023-05-19,227093,5,0.371,0.748,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
268,Biutyful,Music Of The Spheres,Coldplay,2021-10-15,192394,66,0.614,0.0168,0.68,0.00056,0.118,-7.84,0.0425,153.937,4
269,Hymn for the Weekend,Slow Songs,Various Artists,2023-05-19,258265,4,0.491,0.211,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4
270,My Universe,My Universe,Coldplay,2021-09-24,228000,83,0.588,0.00813,0.701,0.0,0.2,-6.39,0.0402,104.988,4
271,Parachutes,Parachutes,Coldplay,2000-07-10,46200,62,0.555,0.871,0.0845,2.27e-06,0.138,-18.348,0.0518,137.001,4
272,Yellow,TEMONES en Inglés,Various Artists,2023-05-19,266773,3,0.429,0.00239,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
