created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun May 22 10:00:33 +0000 2022;1528314865932087296;"MAKE HISTORY!🔥🇮🇩  🥇Medali Emas pertama sepanjang sejarah SEA Games untuk Timnas Basket Pria Indonesia 5x5🥇   Selesai kuarter ke-4 🇮🇩Indonesia 85-81 🇵🇭Filipina  Menghentikan dominasi Timnas Basket Filipina yang selalu meraih Medali Emas SEA Games sejak 1991  🏀🔥🇮🇩👏 https://t.co/hbXO6NhdLI";333;169;2455;7129;in;811427632336146433;1528314865932087296;Indostransfer;https://twitter.com/Indostransfer/status/1528314865932087296
Sun May 22 08:53:18 +0000 2022;1528297943400296448;"Selamat Untuk Timnas Bola Voli Putra Indonesia yang berhasil mendapatkan Medali Emas! 🥇  Indonesia berhasil kalahkan Tuan Rumah, Vietnam dengan Skor 3-0   25-22, 25-18, dan 25-15.  Back to Back Emas, Setelah di Sea Games 2019 juga berhasil dapat Emas mengalahkan Filipina!🔥 https://t.co/RCePhMA1d7";71;80;772;3718;in;1316071146;1528297943400296448;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1528297943400296448
Sun May 22 08:30:22 +0000 2022;1528292171266560000;"RAJA ASIA TENGGARA  Timnas 🏐🇮🇩 meraih emas #SEAGames secara back-to-back.   2019: melawan tekanan fans tuan rumah 🇵🇭 di final. Menang 3-0   2022: melawan tekanan fans tuan rumah 🇻🇳 di final. Menang 3-0  Skill, berpadu dgn power, dan mentalitas luar biasa.   Selamat, INDONESIA! https://t.co/hN22qqYAxc";459;346;4333;14203;in;132276059;1528292171266560000;ainurohman;https://twitter.com/ainurohman/status/1528292171266560000
Thu May 19 11:40:19 +0000 2022;1527252811767230465;"SELESAI, PUASA BERLANJUT   Semifinal #SEAGames2021  🇹🇭 1 vs 🇮🇩 0 (AET)    Timnas Indonesia tidak pernah sekalipun meraih gelar di level kawasan Asia Tenggara dalam 31 tahun terakhir. Sudah nyaris sepanjang kekuasaan rezim Orde Baru. https://t.co/qgVPxGoYn4";242;328;643;3179;in;132276059;1527252811767230465;ainurohman;https://twitter.com/ainurohman/status/1527252811767230465
Sat May 07 13:46:37 +0000 2022;1522935940351926272;"Kayaknya biaya puluhan pemain dan Official Timnas Cabor Sepakbola jika ga usah dikirimkan bisa buat mengirimkan beberapa Cabor yang berpeluang menghasilkan medali emas buat Indonesia deh di SEA Games 2021.";158;251;2655;7048;in;2794327166;1522935940351926272;MafiaWasit;https://twitter.com/MafiaWasit/status/1522935940351926272
Sat May 07 12:13:50 +0000 2022;1522912591344939008;"Timnas Indonesia menyapu bersih podium dalam Piala Dunia Panjat Tebing 2022  Atlet panjat tebing Indonesia, Kiromal Katibin, memecahkan rekor tercepat di dunia kategori men's speed pada sesi kedua kualifikasi World Cup International Sport Climbing (IFSC) 2022. https://t.co/ZJrTb9VkP7";61;54;1077;4440;in;39677695;1522912591344939008;GNFI;https://twitter.com/GNFI/status/1522912591344939008
Mon Apr 11 04:57:00 +0000 2022;1513380574399905794;"Plot Twist: - Timnas Futsal Putra Indonesia diberangkatkan ke Sea Games 2022 dengan Biaya Sendiri. - Mendapat Medali di Sea Games 2022.  🙏🇮🇩😋 https://t.co/Tc82dCgArT";63;167;343;3530;in;1316071146;1513380574399905794;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1513380574399905794
Mon Apr 11 04:17:08 +0000 2022;1513370541591203842;"Harry Tanoesoedibjo berencana akan berangkatkan Timnas Futsal Putra ke Seagames 2022, dengan uang pribadi.  "Usulan kami juga tidak akan memberatkan Pemerintah Indonesia karena keberangkatan team Futsal akan dibiayai secara mandiri," - Hary Tanoesoedibjo selaku ketua FFI.  🙏🇮🇩🔥 https://t.co/YZ8aycArb4";245;291;876;5530;in;1316071146;1513370541591203842;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1513370541591203842
Mon Apr 11 02:20:43 +0000 2022;1513341243866357762;"Hary Tanoesoedibjo tidak ingin merepotkan pemerintah Indonesia dengan siap menggelontorkan dana secara pribadi.  Asalkan Timnas Futsal Indonesia bisa berangkat ke SEA Games 2021. https://t.co/ZQJ5xHTl9i";361;385;1256;7172;in;1197894584249937921;1513341243866357762;vocketfcID;https://twitter.com/vocketfcID/status/1513341243866357762
Sun Apr 10 13:09:09 +0000 2022;1513142037331075073;"Prestasi Timnas Indonesia di Futsal🇮🇩: - Rangking 45 Dunia - Rangking 10 Asia - Masuk Final di 2 Tahun terakhir AFF (2022 &amp  2019) - Menjadi Runner-up di AFF Futsal Championship 2022.  Tidak berangkatkan ke Sea Games tahun ini oleh Kemenpora karena minim prestasi di Sea Games.🤬 https://t.co/gXgmPz1NqZ";220;383;1110;5158;in;1316071146;1513142037331075073;FaktaSepakbola;https://twitter.com/FaktaSepakbola/status/1513142037331075073
