,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
142,3ZfPyQvjQDKYneAf2EPw4C,Sial Mahalini versi Dangdut Waode,Sial Mahalini versi Dangdut Waode,DJ YASDI,2023-02-17,157570,43,0.692,0.344,0.71,0.00055,0.277,-4.872,0.0281,120.263,4
143,1s6peZNxETxrrfMrveNZW8,Proud of Me (feat. Little Simz),Proud of Me (feat. Little Simz),Mahalia,2018-02-02,215862,43,0.659,0.492,0.673,1.78e-05,0.472,-5.733,0.16,86.974,4
144,46mn04zAOO34wIXfgsrmE3,DJ SIAL MAHALINI - BAGAIMANA DENGAN AKU TERLANJUR MENCINTAIMU REMIX TITOK TERBARU 2023,DJ SIAL MAHALINI - BAGAIMANA DENGAN AKU TERLANJUR MENCINTAIMU REMIX TITOK TERBARU 2023,Bumi Sunda,2023-02-07,301714,35,0.713,0.0176,0.712,0.000362,0.354,-5.767,0.0443,140.001,4
145,10E2KfpFsiSAOkl6fteRVF,Square 1,Square 1,Mahalia,2019-08-23,220306,41,0.707,0.227,0.601,0.00866,0.118,-5.231,0.0388,86.005,4
146,0ty1E12SuzpLfli9Vmew3S,Sisa Rasa,Journey of Love,Various Artists,2022-02-25,254863,21,0.488,0.503,0.405,6.86e-06,0.108,-6.324,0.0302,122.049,4
147,0NWTwUhxiR3SJ21SyaYqKh,Mahali Mix 2,Mahali Mix 2,Samir Roashan,2020-09-04,348800,30,0.68,0.398,0.853,8.57e-06,0.609,-3.727,0.0799,122.705,4
148,4eZU05mrR3qop7mGY6AY5D,Bawa Dia Kembali,Music Of My Heart,Various Artists,2016-03-07,251942,21,0.516,0.838,0.228,7.04e-06,0.129,-13.599,0.0287,135.9,4
149,2lDjIhOm9NU7AXKZKpUrir,Mahalia,Postcard,Austin zumBrunnen,2021-01-07,178212,16,0.545,0.718,0.208,0.855,0.111,-14.251,0.0443,73.928,4
150,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,Tertawan Hati,Awdella,2022-07-01,237863,84,0.319,0.661,0.432,0.0,0.108,-5.831,0.0317,128.244,4
151,36icYmH3X0EOEQW6OQoEKr,wahl,wahl,Avdulah Bibič,2022-01-31,113463,29,0.702,0.494,0.866,0.948,0.159,-10.907,0.0353,145.98,4
152,2SmryvmzCMHQ4fjAf1mzmA,Kamu Kurang Usaha,Kamu Kurang Usaha,Awdella,2023-01-20,285765,48,0.426,0.681,0.513,0.0,0.0801,-7.504,0.0366,135.947,4
153,6BaXCLYxXPkCcHFnMYvyFX,Awlaad,heeso xul ah,Abdulle Media Pro,2017-01-05,333688,13,0.675,0.176,0.536,0.000875,0.0905,-6.196,0.0741,175.874,4
154,4p1KGLLCWRPd83EMds7APR,Amin Kita Beda,Amin Kita Beda,Awdella,2021-02-12,248096,51,0.419,0.215,0.337,0.0,0.0911,-10.487,0.0339,124.577,4
155,5gvUY7G3LtCvkMxdulukOt,Indho Caashaq,Awaale Adan,Awaale Adan,2004-09-08,352669,34,0.834,0.249,0.594,2.79e-06,0.0876,-5.511,0.0675,92.988,4
156,4FTF4RTBnWjkw68460Ojav,Adellai,Mental health,Common Tribe,2023-01-13,249682,18,0.557,0.421,0.263,1.11e-06,0.109,-16.461,0.0297,127.948,4
157,3T9tjdqWQBXURorTRGnL1E,Koloba Koloba,Koloba Koloba,Adewale Ayuba,2021-09-03,215000,27,0.844,0.414,0.763,0.784,0.192,-7.226,0.0736,124.99,4
158,7d0BU9Xb5KIawGwzocTw6D,Adella,Signing Off,UB40,1980-01-01,208506,26,0.805,0.0437,0.42,0.631,0.0829,-16.451,0.0622,135.755,4
159,4j6Avmy235Gjmet2BNk6C1,Ijo Fuji A,Ijo Fuji,Adewale Ayuba,2020-07-20,1388827,33,0.613,0.0761,0.881,0.000735,0.247,-4.911,0.107,147.578,4
160,75qCKiZ83AtjD3PuIB7RMC,Adella - 2010 Digital Remaster,Signing Off,UB40,2010-01-01,206066,23,0.788,0.0592,0.634,0.638,0.089,-9.647,0.0468,135.454,4
161,4xehq93H9dtAuSiCL0L2Fp,Aelowä - Live,SOMOS,AWARÉ,2022-05-27,283569,37,0.645,0.906,0.37,0.125,0.0938,-13.075,0.0508,138.016,3
162,4hrtWYcZbCddeMaQvQrPaf,Awella,Awella,Theo Rose,2015-06-04,188000,20,0.723,0.0391,0.795,1.06e-05,0.188,-3.659,0.0774,96.005,4
163,41lrO8o9QSkOx1AYYUVnlk,Adela,Adela,Aleksander Debicz,2021-02-05,338240,35,0.314,0.988,0.0306,0.141,0.0837,-24.661,0.0418,132.077,1
164,6Ptb2JSW4var9dPGCmsm3s,Adelaide,It’s Never Really Over (Expanded),Johnny Orlando,2020-12-22,182994,53,0.774,0.186,0.572,0.0,0.233,-6.838,0.0903,134.033,4
165,2wBgXPSvQgUXSyjiMFWCRk,Acceleration,Acceleration,Adewale Ayuba,2019-01-15,172316,21,0.54,0.643,0.869,0.0,0.528,-5.561,0.465,166.99,4
166,2mhirp0cXeMGugTeezPrGn,"Abdelazer, Z.570: 2. Rondeau",Queen's Platinum Jubilee Classical Music,Various Artists,2022-06-01,98306,42,0.388,0.707,0.0535,0.529,0.107,-20.122,0.0361,98.193,3
167,71NAxmG4jKuNV83yFGyShn,Adwa,KOKOROKO,Kokoroko,2019-03-08,356760,25,0.475,0.0146,0.796,0.765,0.313,-10.302,0.0476,121.921,4
168,2DP9qNDFdhFLSzOKX0q4vg,Abdellah daoudi badr ouabi | Duo امازيغي وعربي,Abdellah daoudi badr ouabi | Duo امازيغي وعربي,studio ghazi,2022-12-23,390870,21,0.603,0.806,0.564,1.4e-05,0.0851,-9.747,0.117,113.011,4
169,4RjcCnUh2v4stNnqtsREfr,Anything You Want,Anything You Want,Okello,2023-02-14,172000,17,0.447,0.84,0.58,0.0,0.363,-8.773,0.0518,147.86,4
170,18vBazGAk3vnscYIETHh3X,abdellah daoudi et badr ouabi live 2 ديوامازيغي وعربي - Live,abdellah daoudi et badr ouabi live 2 ديوامازيغي وعربي (Live),studio ghazi,2023-02-03,377443,17,0.541,0.797,0.678,4.82e-05,0.0584,-8.311,0.145,111.991,4
171,5ecpYSTuWFYsPxr7kObL2x,The World Of Angelique,People's People,Andwella,1970-01-01,223586,19,0.311,0.926,0.159,0.0752,0.115,-20.601,0.0324,156.014,4
172,0JUFPal08yaAnexK8XTRWp,Abdelazer: Rondeau,The Ultimate Baroque Album,Various Artists,2004-01-01,97640,43,0.399,0.954,0.15,0.863,0.114,-17.554,0.0379,83.755,3
173,5kM3B08QGIEvDe1lcAekiD,Koloba Koloba,Fujify Your Soul,Adewale Ayuba,2023-02-26,215000,27,0.843,0.412,0.766,0.752,0.165,-7.326,0.0723,124.966,4
174,1LiFDElPVZgMGrUIbJd55m,Adelante Corazón,Amante de Lo Ajeno,María José,2009,239280,63,0.531,0.0246,0.744,0.0,0.194,-4.51,0.0325,158.026,3
175,4lNHjW5k7SK6yEylXfbhsv,Adela,Aqui No Se Sienta Nadie!,El Gran Combo De Puerto Rico,1979,262346,24,0.699,0.631,0.632,0.000372,0.0549,-5.507,0.0505,86.789,4
176,0XrbCuSDeFyKmFuNmZL89I,Adelaide (intro),"Adelaide, and the Places I Can't Go Back To",CVBZ,2023-02-24,121114,45,0.609,0.236,0.322,0.0,0.123,-10.131,0.0355,135.042,4
177,3FxjOblB5KGprKdVSt6BYw,Adaala Na,Adaala Na,Chey 9,2016-04-12,283402,21,0.895,0.632,0.509,9.84e-06,0.0839,-7.677,0.251,129.987,4
178,0RDnTsZgzlkSMogqYWvBqm,Adelaide,Cities,Anberlin,2007-01-01,194920,41,0.442,0.000982,0.982,0.0,0.325,-3.891,0.067,167.926,4
179,3b3IBPyRnZSgWlFoBwrep1,Idil,Awaale Adan,Awaale Adan,2019-04-23,215406,21,0.772,0.485,0.769,0.00046,0.0703,-3.097,0.039,91.016,4
180,686vC4Xj5wFjFE0S8dW2mK,Adelantah,Insomnia,Chris Palace,2022-11-25,204296,44,0.657,0.146,0.804,8.52e-06,0.129,-2.19,0.0969,180.041,4
181,3BAl37X5Xd0ZdFuilAulI5,Andale,Andale,Aezaddy,2020-07-17,158181,40,0.795,0.0838,0.762,0.0156,0.118,-6.338,0.0557,109.31,4
182,03AVPL7fcKIDuF3Yc38UJG,Adelante Corazón,Poperos Latinos Vol. 2,Various Artists,2023-05-26,212146,0,0.582,0.453,0.531,0.0,0.0847,-7.397,0.0289,78.791,4
183,3l5yyssTbwxB50SO4GOvvb,Birthday Groove,Birthday Groove,Adewale Ayuba,2020-07-31,240227,22,0.87,0.409,0.812,0.0076,0.236,-7.05,0.0616,131.995,4
184,72li98sEhA1TbEPTCSy6lZ,Adelaide's Trap,Over the Garden Wall (Original Television Soundtrack),Over the Garden Wall,2016-07-19,132173,41,0.318,0.973,0.34,0.893,0.12,-10.047,0.0337,119.0,5
185,0CfGI8DZ6Sr1QTop77Vgc6,Recognition,Acceleration,Adewale Ayuba,2019-01-15,185470,19,0.558,0.483,0.813,0.0,0.735,-5.871,0.458,143.078,4
186,3w5gx8Y04CZFQd05aKCTnb,Adelaide Parade (feat. Colin Dean & Elijah Wood),Over the Garden Wall (Original Television Soundtrack),Over the Garden Wall,2016-07-19,98826,40,0.208,0.783,0.258,0.0193,0.127,-9.716,0.0346,86.128,4
187,0FJVqOMimj00DkW6YMErXK,Recipe,Adela,Aleksander Debicz,2021-02-05,310253,27,0.345,0.989,0.117,0.923,0.0927,-21.198,0.0452,102.704,4
188,69no5UFvU1Lh0rhzus3H1l,"Abdelazar Suite, Z. 570: VI. Air",Camerata Nordica Plays Baroque,Camerata Nordica,2010-10-01,68986,47,0.538,0.843,0.209,0.944,0.243,-19.315,0.0411,130.784,4
189,6prZLv6y3ZTJUIV9AARjuL,La Pobre Adela,"Los Líderes, Vol.1",Banda Real,2020-01-06,376058,24,0.578,0.17,0.839,0.00181,0.224,-7.402,0.236,159.478,4
190,2L9tyXZdphjAAOitQrjIp3,Adélaïde,Requin Chagrin,Requin Chagrin,2016-04-29,172360,48,0.519,0.475,0.767,0.328,0.284,-4.828,0.0327,135.229,4
191,72HjYU57suvrnFgU0T3J2U,Akwaada Wesoa,Akwaada Wesoa,Edem,2021-10-09,164153,26,0.682,0.158,0.776,0.0,0.546,-5.566,0.257,119.941,4
192,1FgYBRmeJF5x1H1bBVTVKt,Adelante,Caótica Belleza,Esteman,2015-08-25,268280,48,0.564,0.387,0.629,0.0,0.225,-5.222,0.0272,110.744,4
193,0wKrh7cIdkqNMJl1wZc5lZ,Beautiful Adela,Midnight Piano Jazz,Various Artists,2017-07-10,194569,17,0.691,0.936,0.169,0.92,0.122,-14.818,0.0491,59.699,4
194,3NJJl7aRgLulOCzBJ2YJIF,AWellNeededSmoke,WITHERED,BONES,2022-04-29,144065,36,0.565,0.684,0.293,0.594,0.0972,-12.294,0.0364,80.006,4
195,2UskgxHBH62Y1yMVLWCel9,Adela,"De Falla, Piazzola - Por Una Cancion",Almaviva Duet,2011-10-28,146364,16,0.27,0.987,0.0267,0.000156,0.0994,-24.142,0.0555,169.313,3
196,2Fh8f26n3wIQAQZWSQ2flo,Andelmans' Yard,The Green Sparrow,Mike Gordon,2008-01-01,370613,31,0.777,0.63,0.646,0.0579,0.103,-7.415,0.0339,109.994,4
197,43HGDtvPeE8JGhBeCbPieM,Sharafta Hablaha Somalida,Awaale Adan,Awaale Adan,2004-09-08,316541,21,0.738,0.256,0.848,0.0,0.0998,-1.302,0.301,84.847,4
198,2IvclMRRfknwnR6wgk5uIn,Adelaide's Lament,Guys and Dolls (New Broadway Cast Recording (1992)),New Broadway Cast of Guys and Dolls (1992),1992-07-07,220000,36,0.578,0.803,0.124,2.05e-06,0.867,-19.085,0.382,91.749,4
199,1KsH4mE4YYIM3N3aJSNFHh,Al Wadea Badou - Live,Akbar Ghalta (Live),Sami Hilal,2022-11-14,66908,37,0.838,0.535,0.652,0.00604,0.127,-4.859,0.0375,101.837,4
200,13sOb9V6Y3uCnRxY9HIZqP,if u could see me cryin' in my room,if u could see me cryin' in my room,Arash Buana,2020-06-12,256867,75,0.469,0.921,0.173,0.0,0.12,-11.396,0.0426,140.323,4
201,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,Kau Rumahku,raissa anggiani,2022-01-10,275250,83,0.35,0.873,0.323,1.48e-06,0.103,-8.982,0.0369,169.513,3
202,6embPWj9qvusLg9JpbAmCQ,Losing Us.,Losing Us.,raissa anggiani,2021-01-04,236885,67,0.433,0.975,0.208,8.53e-06,0.114,-9.314,0.033,135.727,5
203,3qLB2wOemocrMXmjoL1QQw,Someday (feat. Sam Kim),Someday (feat. Sam Kim),Raisa,2021-11-12,250016,44,0.52,0.635,0.536,0.0,0.115,-6.759,0.0342,73.069,4
204,2kN0Lv2Bk0n1KuP9drjWxf,Lagi Lagi,Lagi Lagi,raissa anggiani,2022-08-19,241000,61,0.418,0.904,0.407,0.000134,0.131,-7.301,0.0274,86.499,4
205,4JOLwenzXcE4Sa10fcKUc0,Raisin' Cane In Texas,No One Will Ever Know,Gene Watson,1980-01-01,159000,40,0.652,0.239,0.454,2.7e-06,0.153,-7.129,0.0265,93.933,4
206,5SicKKsUufuzKZASHO9eDE,Itu Aku,Renung Resah,raissa anggiani,2023-05-25,222000,57,0.228,0.961,0.241,9.42e-06,0.123,-9.015,0.0314,75.496,4
207,4rVXkYPwY8oHJhQwcBL0On,Satu Tuju,Satu Tuju,raissa anggiani,2020-08-12,246800,57,0.455,0.895,0.217,0.0,0.133,-7.122,0.0355,141.205,4
208,6iijJk2CVryVpA7vmgUO1b,& if we don't belong together,Renung Resah,raissa anggiani,2023-05-25,194429,44,0.35,0.917,0.311,1.14e-05,0.228,-11.56,0.0503,203.973,4
209,7c98gah3Qah9o76kgkzfrV,Bahasa Kalbu,Bahasa Kalbu,Raisa,2020-08-28,351247,58,0.22,0.858,0.284,1.79e-05,0.291,-9.985,0.0297,83.837,4
210,04HD6tAw4t8MIGTq68t8V6,Menari Aku Menari,Renung Resah,raissa anggiani,2023-05-25,196260,46,0.435,0.924,0.298,0.000109,0.196,-11.246,0.0323,179.336,3
211,0rgEL2cD2T5MDzSDJTQNlw,Jatuh Hati,Handmade,Raisa,2016-04-27,207403,64,0.536,0.813,0.355,0.0,0.12,-10.562,0.0289,132.131,4
212,6IoSzeVSqv3i6TlM7mufRX,Berjalan Di Atas Waktu,Renung Resah,raissa anggiani,2023-05-25,220750,43,0.317,0.918,0.161,1.59e-05,0.107,-11.919,0.0352,165.844,4
213,4CvYHgcpBFbefsz6Q55ID1,Kali Kedua,Handmade,Raisa,2016-04-27,257252,61,0.518,0.82,0.517,1.54e-05,0.116,-6.206,0.035,137.867,4
214,3bK2nurWppQbnPU7QUIzAc,Lagi Lagi,Renung Resah,raissa anggiani,2023-05-25,241000,35,0.418,0.904,0.407,0.000134,0.131,-7.301,0.0274,86.499,4
215,6iBuCdHWsIJ3qCDs50w2lS,Apalah (Arti Menunggu),Raisa,Raisa,2011-05-02,214893,65,0.502,0.869,0.313,0.0,0.269,-10.65,0.0294,111.97,4
216,4ouOr3n0n6fgvNX16iwgoS,Kau Rumahku,Renung Resah,raissa anggiani,2023-05-25,275250,33,0.35,0.873,0.323,1.48e-06,0.103,-8.982,0.0369,169.513,3
217,5ljnTSvVHXNlOLYSRDWPgM,Bertahan / Pergi,Bertahan / Pergi,Raisa,2022-11-16,240000,55,0.618,0.73,0.338,6.43e-06,0.133,-9.37,0.0262,81.967,4
218,2Z00Dv9p5vFWBHay0ZAAs3,Benih,Benih,raissa anggiani,2023-01-30,241000,61,0.337,0.743,0.38,0.0,0.0982,-6.555,0.0314,140.024,4
219,5OhSbOu2OuOBlcqT5XR6Xc,Berpisah Lebih Indah,Berpisah Lebih Indah,Raissa Ramadhani,2022-08-26,237900,61,0.614,0.797,0.353,0.0,0.111,-7.662,0.0307,105.907,4
220,6XDfioly4ZYDHxQFppvPjK,"Trust Again - Inspired by ""Raya and The Last Dragon""","Trust Again (Inspired by ""Raya and the Last Dragon"")",Various Artists,2021-03-12,226909,41,0.55,0.0133,0.64,0.0,0.191,-5.887,0.0343,82.469,4
221,4zI9XmVOnT2oM3U16S71cK,keepyousafe,SOUTH,Yahya,2022-03-25,264362,43,0.475,0.887,0.299,0.00201,0.0892,-13.62,0.0304,86.959,4
222,6i5sIqE4lglanzlXXl8gCj,Usai Di Sini,Handmade,Raisa,2016-04-27,283022,62,0.445,0.965,0.201,0.0,0.0957,-11.244,0.0391,121.468,4
223,2yhAtx8uyIKRnxLX3ftu8I,Aku Kamu Yang Lain,Aku Kamu Yang Lain,raissa anggiani,2021-06-25,215064,47,0.606,0.851,0.334,1.23e-06,0.11,-8.958,0.0341,77.075,3
224,3jK5ndIlxMK3rN0gjlfkzh,Anganku Anganmu,Anganku Anganmu,Raisa,2017-03-30,271467,48,0.482,0.438,0.696,0.0,0.0893,-4.665,0.0358,155.95,4
225,1VtPtq1PoEACPCaBbs5v7L,Aku Kamu Yang Lain - Piano version,Aku Kamu Yang Lain (Piano version),raissa anggiani,2021-08-02,235640,41,0.385,0.968,0.134,0.0,0.101,-14.258,0.0476,77.134,3
226,7K1s5Fxj7f6RexhrykThgW,Someday (feat. Sam Kim),It's Personal,Raisa,2022-03-17,250000,40,0.479,0.631,0.534,0.0,0.115,-6.77,0.0342,73.003,4
227,1VQeq5W6s0gUgz9M81Vz5L,Selamanya Kita,Selamanya Kita,Dewa Budjana,2022-12-02,264000,38,0.295,0.962,0.217,2.51e-06,0.107,-10.773,0.0311,93.016,4
228,1wE4Iqv0tXXuZBA67PoGvw,Mantan Terindah,Yovie and His Friends : IRREPLACEABLE (#takkanterganti),Yovie Widianto,2013-09-24,208266,65,0.393,0.897,0.313,8.79e-06,0.109,-8.01,0.0301,94.787,4
229,0y2RswP8Au6SvCiW318rnq,aMakna,aMakna,Mantra Vutura,2022-10-28,296915,27,0.245,0.371,0.568,0.000584,0.0975,-8.111,0.0294,95.043,4
230,6AqPjCYNosmuQ6QBLvbAjX,Nyawa dan Harapan,Handmade,Raisa,2016-04-27,288593,43,0.487,0.863,0.278,1.26e-06,0.114,-8.016,0.0308,127.879,4
231,6WIgm0evaMly8GH6VzdAo8,LDR,Heart To Heart,Raisa,2013-11-27,294666,50,0.284,0.683,0.345,0.0,0.108,-9.551,0.032,115.127,1
232,0FERqRAVmXwPasxY5Jt8k1,Biarkanlah,Handmade,Raisa,2016-04-27,227343,51,0.401,0.795,0.334,3.74e-06,0.11,-8.951,0.0343,119.682,4
233,3jMXORZIqN8biiXVJXP3vk,Serba Salah,Raisa,Raisa,2011-05-02,262746,60,0.703,0.275,0.436,0.0,0.0635,-8.935,0.0263,96.002,4
234,6Khn20yWc0YGJy1wbkz3Be,Could It Be,Raisa,Raisa,2011-05-02,221400,54,0.673,0.6,0.537,0.0,0.349,-8.088,0.0954,100.03,4
235,6XMGIUnmqmGxfB6ggxMBoh,Love You Longer,Handmade,Raisa,2016-04-27,195164,48,0.689,0.521,0.564,0.0,0.0733,-5.852,0.0939,92.006,4
236,1sG08WmYFh1kIdINmbCwlo,Ragu,It's Personal,Raisa,2022-03-17,252000,34,0.514,0.266,0.601,0.000884,0.192,-6.582,0.0427,179.826,4
237,12DwMhWoEn61zfmZ0uKpQX,Kembali,Kembali,Raisa,2019-07-10,263871,40,0.268,0.456,0.313,0.00557,0.111,-11.614,0.0548,71.781,4
238,5EZqNByJrtpdg6zib70mhd,ANGEL ENERGY,ANGEL ENERGY,Raissa,2020-02-28,134318,16,0.593,0.105,0.688,0.0,0.107,-5.254,0.0814,175.86,4
239,0xtwTnHwuq5q9K0mLagr0P,Мужики,Мужики,Raisa Otradnaya,2016-12-14,173200,40,0.865,0.284,0.81,0.0,0.153,-4.063,0.039,108.065,4
240,6gKraw5bzDH8QspBZHHv0r,Beginning Interlude (Intro),Forever or Never,Raysta,2023-02-16,64051,22,0.515,0.972,0.447,0.000363,0.144,-9.865,0.257,137.363,1
241,0o7t39Y0zDTrqqcJx5CbZ8,SHADES ON,SHADES ON,Raissa,2021-01-22,140736,17,0.669,0.00973,0.497,1.71e-05,0.147,-7.017,0.0358,120.06,4
242,6pSRXKAwftu2a7KOjRlbz3,Ragu,Ragu,Raisa,2021-03-17,252000,37,0.512,0.267,0.601,0.00109,0.192,-6.595,0.0416,179.869,4
243,0S8ihONhvsnAbcTMnNqPAE,Pemeran Utama,Heart To Heart,Raisa,2013-11-27,224600,43,0.401,0.805,0.193,0.0,0.117,-10.098,0.0308,70.192,4
244,50f2FWU8G0iYWfDKv68Y3l,Девчата,Мужики,Raisa Otradnaya,2016-12-14,157693,35,0.766,0.163,0.909,0.0,0.268,-4.653,0.0387,108.95,4
245,405myFSFhjIeFh83qXGtlW,Casa Gigante,Casa Gigante,Deddy,2023-01-13,157875,46,0.65,0.218,0.675,0.0,0.146,-6.084,0.145,79.979,4
246,7uM4IGlGqmz8DpTsSKwHcu,Kutukan (Cinta Pertama),It's Personal,Raisa,2022-03-17,229000,38,0.649,0.785,0.534,0.000223,0.275,-6.24,0.0571,135.914,4
247,5lYwsRrPyuE7WkcvY9QbtA,"Takut - From ""Jurnal Risa""","Takut (From ""Jurnal Risa"")",Risa Saraswati,2023-05-26,217714,24,0.241,0.682,0.212,0.00209,0.274,-14.391,0.031,149.924,4
248,6urIwfdmf1H30udVAO87ys,Rise Again,Rise Again,Newave Music,2023-03-05,197436,21,0.707,0.143,0.508,0.0,0.288,-5.854,0.0809,143.782,4
249,0wpfxMnYMo4hz4EwhXeiLF,Raisin' Cane In Texas,The Best Of The Capitol Years,Gene Watson,2015-01-01,162066,18,0.645,0.181,0.397,2.84e-06,0.085,-9.928,0.0268,93.713,4
250,6Hii26x3qDErVitnGW8QtO,Runtuh,Runtuh,Feby Putri,2021-10-01,223973,83,0.593,0.876,0.287,0.000136,0.119,-13.164,0.0289,127.783,4
251,6xeqCawPZngDVqw2W2aGaR,Kembali Pulang,Kembali Pulang,Suara Kayu,2022-10-28,207898,77,0.559,0.95,0.236,0.00673,0.105,-10.619,0.0282,141.977,3
252,2dTIJVE0stqTvrhbpf7fFw,Halu,Riuh,Feby Putri,2022-01-21,265737,69,0.258,0.867,0.249,0.0308,0.11,-14.543,0.0346,87.283,3
253,5GgRntbjr23OK9MMST02di,Usik,Riuh,Feby Putri,2022-01-21,311496,70,0.209,0.777,0.441,0.317,0.137,-10.917,0.0383,182.038,3
254,3iszMeG87RxYujbKieNNRQ,Halu,Halu,Feby Putri,2019-08-11,265737,60,0.258,0.867,0.249,0.0308,0.11,-14.543,0.0346,87.283,3
255,0301DpIhbVSPDWceTO8i8I,Usik,Usik,Feby Putri,2019-12-19,311496,62,0.209,0.777,0.441,0.317,0.137,-10.917,0.0383,182.038,3
256,36wyTN6jvSL27r7pzqv44L,Dera,Riuh,Feby Putri,2022-01-21,268000,50,0.216,0.976,0.223,0.0796,0.0992,-13.884,0.0464,77.165,4
257,6pk0iPvgjY4zLlVVcAh153,bagai bintang bulan,2016,Feby Putri,2023-03-31,282000,63,0.345,0.928,0.247,0.00193,0.0958,-16.232,0.0372,93.951,4
258,2WKS8Tk8OwHnAY847eq1Xr,Tanpa Pamrih,Tanpa Pamrih,Feby Putri,2022-08-05,212968,57,0.338,0.92,0.404,0.0561,0.11,-10.154,0.0355,124.035,3
259,2mGGmw0htjUmy2Saf2i6RZ,Liar Angin,Riuh,Feby Putri,2022-01-21,229955,59,0.571,0.884,0.431,0.013,0.109,-11.099,0.0291,134.895,4
260,79V8uyU8rLxH3ut8AjZ9mM,Diri,Riuh,Feby Putri,2022-01-21,250655,43,0.588,0.844,0.298,0.811,0.0913,-15.001,0.0282,113.973,4
261,1MdmFDWh4mOgnD5KdUuwfh,naradira,naradira,Luthfi Aulia,2020-10-02,246594,56,0.592,0.908,0.25,0.00578,0.123,-11.212,0.0289,77.996,4
262,5sgshmBMddmfaYhePRswOs,Cahaya,Riuh,Feby Putri,2022-01-21,236750,54,0.485,0.935,0.319,0.000132,0.0929,-11.787,0.0325,106.26,4
263,1K2bNJgWU7cGRIAVOyOyzk,Rantau,Riuh,Feby Putri,2022-01-21,202000,52,0.412,0.889,0.345,0.617,0.0797,-11.781,0.0313,88.792,4
264,4yDpYEuT1mQn3ZcEB1gceL,Dear Diary,Masterpiece Maia Estianty,Various Artists,2020-10-15,220856,55,0.483,0.957,0.308,0.0218,0.0847,-12.403,0.0314,130.774,4
265,2IZ64QRwzcq2bDl3qClVIS,Awal,Riuh,Feby Putri,2022-01-21,292601,41,0.229,0.95,0.326,0.891,0.176,-13.102,0.0328,84.2,3
266,7gDMX4JCHzyAXGps3af4YM,Rindu Tak Bersuara,Rindu Tak Bersuara,Alffy Rev,2019-10-21,256000,52,0.616,0.791,0.43,0.000503,0.428,-9.78,0.0334,122.95,3
267,7dqb2xEkbo3GRaDAMKQIKi,"orang yang sama, masa yang beda (intro)",2016,Feby Putri,2023-03-31,100000,50,0.281,0.927,0.231,0.89,0.142,-15.472,0.0379,112.625,1
268,2xwEfKYBRdAjZ6XdZl78Mh,andai kata,2016,Feby Putri,2023-03-31,266000,50,0.542,0.947,0.257,0.00664,0.12,-14.967,0.0309,79.965,4
269,2SunR0bdM7uVYqlhSd6Qax,sendiri dulu,2016,Feby Putri,2023-03-31,260000,50,0.328,0.887,0.256,0.239,0.131,-15.321,0.0353,129.035,4
270,7JAAwKWbXhbl5rsqttKj0m,Berkesudahan,Riuh,Feby Putri,2022-01-21,263552,46,0.378,0.899,0.279,0.0949,0.0822,-14.628,0.0317,157.783,4
271,6EMfabyKClXR0Zv7qczLKr,Alih,Riuh,Feby Putri,2022-01-21,233024,43,0.401,0.884,0.313,0.814,0.266,-13.586,0.031,71.02,4
272,0GiVUtoocUKStsvza9eDUd,"detik, menit, jam",2016,Feby Putri,2023-03-31,274000,52,0.56,0.719,0.346,0.164,0.104,-11.49,0.0328,148.045,4
273,2zrj2PD9hCNrjH7htu9dZd,Cahaya,Cahaya,Feby Putri,2021-04-09,236750,42,0.485,0.935,0.319,0.000132,0.0929,-11.787,0.0325,106.26,4
274,3i1l8aRJWIl9cwuEHSiVar,Liar Angin,Liar Angin,Feby Putri,2021-07-30,229955,46,0.571,0.884,0.431,0.013,0.109,-11.099,0.0291,134.895,4
275,3B5MffpQny9OuCf9UbF58t,Kembali Untuk Mengulang by Collabonation Mini Camp Artists,Kembali Untuk Mengulang by Collabonation Mini Camp Artists,Fiersa Besari,2023-04-04,249593,49,0.476,0.589,0.518,0.000138,0.0826,-9.925,0.0261,86.038,4
276,2uOO9pDz2y1d9K2ZRXz1Kh,Pribadi Yang Mengenal Hatiku,Nyaman Bersamamu,Various Artists,2015-06-02,478720,39,0.606,0.827,0.284,1.8e-06,0.0869,-9.598,0.026,77.948,4
277,23flG5d8bFfN7H9yYYGX5s,Runtuh - Remix,Runtuh,Diar,2022-10-14,244572,8,0.834,0.225,0.589,0.0531,0.0938,-6.88,0.0383,109.985,4
278,2HHidkM7hC8rOgPjSMa5wb,Dialog Hujan,Bersenjagurau,Febry Rufi,2017-05-06,264148,47,0.611,0.912,0.0461,0.0172,0.383,-16.716,0.0616,90.567,3
279,32tWji8DGRfRI2T0SFd9Ef,Satukan Hati,Satukan Hati,The Bataks Band,2022-04-19,356666,4,0.475,0.209,0.867,0.0,0.0791,-4.432,0.0616,144.094,4
280,3qBIP2216do0IHNp1RSWQe,Bisik Bisik Cinta,Bisik Bisik Cinta,Feby Pratiwi,2023-03-01,187266,0,0.718,0.0845,0.732,1.11e-06,0.408,-8.281,0.0297,104.986,4
