,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
48,5Lq49hG1aTBhv88nxOjy7s,Angie,Angie,The Women's National Hockey League,2021-08-27,239955,6,0.281,0.321,0.539,0.013,0.117,-9.762,0.033,81.504,4
49,6lHht2pazAIPaFHaW20CSD,Dangerously,Not Pushing Daisies,Ängie,2020-06-05,223870,19,0.748,0.0158,0.43,0.000265,0.0769,-10.341,0.0637,129.88,4
50,2AaaE0qvFWtyT8srKNfRhH,Komang,Komang,Raim Laode,2022-08-17,222706,88,0.696,0.415,0.412,6.16e-05,0.1,-8.547,0.027,133.913,4
51,44LLP8HiZBkfOzyC1PLXGo,愛不疚,Your Love,Raymond Lam,2008-09-10,230468,43,0.563,0.532,0.526,1.05e-06,0.158,-8.959,0.0362,139.996,5
52,5TZ2gcAgIxQNgE5PmkfRXv,Cemburu - Acoustic Version,Suasana Rumah (Acoustic Version),Raim Laode,2022-07-31,254531,49,0.63,0.766,0.379,0.0,0.133,-7.06,0.0285,127.797,4
53,1PeBjz6dl4xHBc4R0ymJOv,So It's You,Raymond Lauchengco,Raymond Lauchengco,2008-01-23,204760,57,0.315,0.739,0.316,2.36e-06,0.0789,-10.871,0.0303,130.381,4
54,3PLj48gym37tABcAm59EAP,Suasana Rumah,Suasana Rumah,Raim Laode,2019-03-21,246491,59,0.589,0.631,0.301,0.0,0.266,-10.036,0.0277,129.894,4
55,5h6R8U3G3GLZc6nMsrxBV4,愛在記憶中找你,愛在記憶中找你,Raymond Lam,2007-11-23,254750,50,0.535,0.439,0.683,0.0,0.156,-5.567,0.033,139.965,4
56,0SCzq7HXSslMxfg6TMZyYD,Cemburu,Cemburu,Raim Laode,2018-10-06,273580,59,0.578,0.739,0.431,2.08e-06,0.557,-9.485,0.0262,129.937,4
57,1P1Ob8nazdWZckB9rT4vnk,raim laode,raim laode,ifnu fajri,2023-03-08,171940,2,0.5,0.166,0.665,0.0,0.109,-5.931,0.0348,134.139,4
58,6s0HM8fK8ZjYHlTHmi123x,Sang Badut,Sang Badut,Raim Laode,2021-12-18,235454,55,0.377,0.388,0.234,0.0,0.115,-12.118,0.0372,130.511,4
59,0JJl2srcmIIHbpcbRHdq3L,明天以後,Your Love,Raymond Lam,2008-09-10,248645,37,0.616,0.706,0.532,0.0,0.135,-7.329,0.0317,127.093,4
60,7d5NfTdXW49jQRjtsFeimI,DJ SEBAB KAU TERLALU INDAH DARI SEKEDAR KATA - KOMANG RAIM LAODE,DJ SEBAB KAU TERLALU INDAH DARI SEKEDAR KATA - KOMANG RAIM LAODE,DJ MANIKCI REMIX,2023-02-20,347768,30,0.658,0.0153,0.92,0.212,0.312,-5.296,0.0307,132.012,4
61,31v9DOjbdzljEPiIcDYEtI,如果時間來到,Let's Get Wet,Raymond Lam,2009-06-15,226028,41,0.525,0.37,0.701,0.0,0.123,-6.29,0.0384,142.061,3
62,0sMekDAloQydOmzE4uSibI,Su Terlalu Lama,Su Terlalu Lama,Rizky Teng,2021-06-05,266129,53,0.537,0.206,0.502,3.39e-05,0.183,-8.555,0.0281,123.889,4
63,0v5SedyJIN8m0MmN0Pd8xP,Rain Lord,Worship The King,Mark Condon,2008-04-08,263320,28,0.598,0.19,0.876,0.0,0.116,-6.16,0.161,139.984,4
64,3xEDgUMubihv8Xy7YqKTSN,Salah,Salah,Raim Laode,2019-08-31,289320,52,0.573,0.579,0.285,0.0,0.117,-12.327,0.0271,84.021,4
65,3yWxXhTPjAUV7utUy114Ek,直到你不找我,Come 2 Me,Raymond Lam,2010-04-09,248746,39,0.474,0.0493,0.499,0.0,0.0954,-9.974,0.0342,143.88,4
