,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,99282,79,0.9,0.115,0.509,1.67e-06,0.0937,-6.647,0.257,100.007,4
1,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,90,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4
2,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,84,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4
3,BILLIE EILISH.,Road to CASABLANCO.,Armani White,2023-05-05,99280,66,0.902,0.13,0.514,9.22e-06,0.0873,-6.372,0.281,100.101,4
4,TV,Guitar Songs,Billie Eilish,2022-07-21,281380,87,0.412,0.83,0.236,0.00653,0.147,-15.159,0.0379,140.214,4
5,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,99282,51,0.907,0.132,0.477,1.05e-06,0.0918,-6.772,0.27,100.107,4
6,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,87,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
7,bellyache,Bellyache,Billie Eilish,2017-02-24,179172,80,0.695,0.46,0.573,0.0734,0.482,-8.597,0.106,99.939,4
8,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,196077,85,0.367,0.978,0.111,3.97e-05,0.0897,-14.084,0.0972,82.642,4
9,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,86,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4
10,Therefore I Am,Happier Than Ever,Billie Eilish,2021-07-30,173539,74,0.879,0.227,0.365,0.135,0.0583,-7.781,0.0924,94.016,4
11,hotline (edit),hotline (edit),Billie Eilish,2023-05-09,60719,84,0.516,0.816,0.254,0.855,0.189,-16.027,0.0589,56.829,4
12,ocean eyes,dont smile at me,Billie Eilish,2017-12-22,200379,83,0.511,0.816,0.363,0.0317,0.084,-7.65,0.041,144.892,4
13,billie eilish (feat. Ciscaux),billie eilish (feat. Ciscaux),lilbubblegum,2021-04-09,148800,57,0.562,0.181,0.598,0.0,0.376,-8.062,0.327,133.204,5
14,Bored,Bored,Billie Eilish,2017-03-30,180933,84,0.614,0.896,0.318,0.00239,0.0795,-12.695,0.0478,119.959,4
15,COPYCAT,dont smile at me,Billie Eilish,2017-12-22,194711,74,0.679,0.353,0.388,9.25e-05,0.341,-10.977,0.0932,124.909,4
16,idontwannabeyouanymore,dont smile at me,Billie Eilish,2017-12-22,203569,82,0.483,0.737,0.412,0.0,0.116,-8.461,0.0402,170.163,3
17,you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,180952,78,0.678,0.462,0.533,0.219,0.139,-10.485,0.186,150.455,4
18,xanny,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,243725,73,0.521,0.751,0.125,0.00207,0.265,-17.832,0.239,111.554,4
19,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,291796,81,0.421,0.952,0.131,0.00453,0.109,-18.435,0.0382,137.446,4
20,hostage,dont smile at me,Billie Eilish,2017-12-22,229425,77,0.427,0.868,0.123,3.12e-05,0.0732,-15.228,0.0497,129.565,5
21,Happier Than Ever - Edit,Happier Than Ever (Edit),Billie Eilish,2021-07-28,151444,81,0.334,0.0468,0.599,0.000392,0.205,-5.742,0.0365,161.74,3
22,bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,193143,76,0.905,0.74,0.389,0.162,0.106,-14.505,0.332,120.046,4
23,Halley's Comet,Happier Than Ever,Billie Eilish,2021-07-30,234761,78,0.403,0.961,0.159,0.0121,0.34,-16.728,0.104,72.38,4
24,watch,dont smile at me,Billie Eilish,2017-12-22,177523,80,0.441,0.333,0.599,0.00198,0.103,-8.985,0.225,165.212,4
25,ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,156370,73,0.855,0.724,0.423,0.469,0.0896,-15.044,0.0585,120.02,4
26,listen before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,242652,78,0.319,0.935,0.0561,0.00384,0.388,-23.023,0.045,79.764,3
27,bellyache,dont smile at me,Billie Eilish,2017-12-22,179172,69,0.695,0.46,0.573,0.0734,0.482,-8.597,0.106,99.939,4
28,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,51,0.314,0.741,0.238,0.00193,0.128,-8.802,0.0389,72.535,3
29,all the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,168839,76,0.726,0.283,0.444,0.143,0.177,-8.922,0.372,185.044,4
30,lovely,Lonely Nights,Various Artists,2021-08-11,200185,62,0.292,0.934,0.296,0.0,0.095,-10.109,0.0359,115.046,4
31,"BILLIE EILISH LEGENDS MIX. (feat. Ludacris, Busta Rhymes & N.O.R.E.)",Road to CASABLANCO.,Armani White,2023-05-05,204653,42,0.748,0.0616,0.613,0.0,0.134,-6.546,0.378,99.855,4
32,Billie Bossa Nova,Happier Than Ever,Billie Eilish,2021-07-30,196730,79,0.895,0.222,0.389,0.0346,0.105,-11.036,0.11,110.023,4
33,The 30th,Guitar Songs,Billie Eilish,2022-07-21,216448,77,0.387,0.929,0.135,0.0,0.0948,-14.398,0.051,82.987,4
34,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,75,0.889,0.218,0.34,0.13,0.055,-7.773,0.0697,94.009,4
35,bad guy,Angel's Most Played Tracks,Various Artists,2021-08-24,194087,29,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4
36,goodbye,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,119409,71,0.153,0.837,0.138,0.55,0.254,-21.877,0.0503,74.318,3
37,Oxytocin,Happier Than Ever,Billie Eilish,2021-07-30,210232,71,0.757,0.0904,0.598,0.551,0.15,-7.777,0.058,124.951,4
38,Happier Than Ever,Mood: Asado,Various Artists,2023-05-26,298899,0,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
39,Billie Eilish,Billie Eilish,Dal Av,2022-11-04,100800,47,0.581,0.0344,0.954,0.0,0.159,-3.871,0.154,99.967,1
40,everything i wanted,Brunch & Pop,Various Artists,2023-05-26,245425,0,0.704,0.901,0.225,0.657,0.106,-14.454,0.0994,120.006,4
41,BILLIE EILISH,LONER,JUMEX,2019-06-07,137687,28,0.642,0.0102,0.682,0.0,0.119,-4.495,0.0304,129.115,4
42,Happier Than Ever,Brunch & Pop,Various Artists,2023-05-26,298899,0,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
43,ocean eyes,Ocean Eyes,Billie Eilish,2016-11-18,200560,71,0.475,0.819,0.37,0.0577,0.0841,-7.725,0.0361,144.828,4
44,Oxytocin,Happier Than Ever,Billie Eilish,2021-07-30,210232,65,0.756,0.091,0.595,0.547,0.148,-7.761,0.0587,124.938,4
45,No Time To Die,No Time To Die,Billie Eilish,2020-02-13,242265,78,0.38,0.917,0.219,0.0104,0.0827,-13.273,0.0358,73.537,4
